# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
84 3.34 0.747433 0.435045 0.568866 0.423326 1.90836 3.29878
85 3.38 0.705217 0.447572 0.558746 0.433366 2.13915 3.33721
86 3.42 0.677883 0.4599 0.558625 0.443642 2.49505 3.38311
87 3.46 0.643267 0.471873 0.562075 0.454225 2.88697 3.43747
88 3.5 0.634421 0.483956 0.570242 0.465212 3.30879 3.50122
89 3.54 0.626091 0.496155 0.581546 0.476674 3.57228 3.57163
90 3.58 0.628435 0.508678 0.605643 0.488883 3.93491 3.65095
91 3.62 0.642137 0.521761 0.60474 0.501347 4.08247 3.73509
92 3.66 0.677553 0.535873 0.635104 0.514727 4.38157 3.8274
93 3.7 0.68808 0.550519 0.65188 0.528763 4.75038 3.92969
94 3.74 0.708621 0.56593 0.679763 0.543718 4.91104 4.03773
95 3.78 0.753209 0.582663 0.702447 0.559504 5.23986 4.15548
96 3.82 0.765318 0.600027 0.727425 0.576199 5.24703 4.27591
97 3.86 0.818869 0.618996 0.745886 0.593678 5.29262 4.39994
98 3.9 0.851086 0.639123 0.782603 0.6124 5.33116 4.52747
99 3.94 0.922095 0.661379 0.801933 0.631979 5.15362 4.6533
100 3.98 0.943563 0.684617 0.820635 0.652424 5.02086 4.77839
101 4.02 0.974102 0.709093 0.845367 0.673911 4.76453 4.89949
102 4.06 0.996826 0.73464 0.842746 0.695759 4.50733 5.01634
103 4.1 1.00479 0.760902 0.878532 0.718987 4.2057 5.12753
104 4.14 1.00218 0.787608 0.90028 0.743256 4.48755 5.2485
105 4.18 1.02066 0.815335 0.903119 0.768074 4.41262 5.36977
106 4.22 0.995456 0.842898 0.914749 0.793695 4.34198 5.49138
107 4.26 0.970336 0.870277 0.930894 0.820265 4.58085 5.62213
108 4.3 0.959681 0.897866 0.947718 0.847826 4.79025 5.76143
109 4.34 0.933667 0.925208 0.980967 0.876886 5.05635 5.91123
110 4.38 0.905702 0.952223 1.02916 0.907939 5.36411 6.07308
111 4.42 0.883964 0.979074 1.03737 0.939814 5.71971 6.24883
