# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
1510 0.0725834 -0.0988407 -0.214018 -0.240275
1515 0.0541996 -0.07099 -0.168213 -0.185003
1520 0.0283326 -0.0303821 -0.116685 -0.118735
1525 -0.00278747 0.0201358 -0.0683387 -0.0509904
1530 -0.0380703 0.0724468 -0.0319661 0.00241046
1535 -0.0764901 0.114825 -0.0133287 0.025006
1540 -0.114525 0.140169 -0.0090998 0.0165445
1545 -0.145838 0.151051 -0.00898527 -0.00377259
1550 -0.159779 0.153596 -0.00711096 -0.0132935
1555 -0.143294 0.1524 -0.00473363 0.00437321
1560 -0.0911516 0.153134 -0.00208776 0.0598947
1565 -0.0153377 0.160236 0.00483875 0.149737
1570 0.062261 0.169323 0.0199055 0.25149
1575 0.124631 0.168849 0.0452499 0.338729
1580 0.16681 0.150139 0.0824152 0.399365
1585 0.192273 0.113518 0.133049 0.438839
1590 0.205712 0.0659525 0.19372 0.465384
1595 0.210793 0.0154532 0.250253 0.476499
1600 0.208253 -0.0323829 0.280577 0.456447
1605 0.195123 -0.0736795 0.268448 0.389892
1610 0.170783 -0.10237 0.215653 0.284066
1615 0.140842 -0.110859 0.138836 0.168819
1620 0.110107 -0.0947734 0.0577988 0.0731325
1625 0.0761238 -0.0598672 -0.0169247 -0.00066811
1630 0.036025 -0.0198913 -0.0840544 -0.0679207
1635 -0.00698967 0.0177142 -0.139103 -0.128379
1640 -0.045139 0.0546661 -0.174724 -0.165197
1645 -0.0683995 0.0922667 -0.189656 -0.165789
1650 -0.0713881 0.124973 -0.188894 -0.13531
1655 -0.0596864 0.144991 -0.174341 -0.0890359
1660 -0.0475977 0.149839 -0.139835 -0.0375928
1665 -0.0478608 0.142659 -0.0770792 0.0177191
1670 -0.0640372 0.128753 0.0118213 0.0765369
1675 -0.0942733 0.112216 0.109672 0.127614
1680 -0.133938 0.0928902 0.193274 0.152227
1685 -0.173844 0.0681542 0.244715 0.139026
1690 -0.200894 0.0367343 0.25514 0.0909805
1695 -0.202934 -0.000275633 0.22467 0.0214611
1700 -0.174407 -0.0402553 0.162712 -0.05195
1705 -0.115866 -0.0802681 0.0863888 -0.109746
1710 -0.0343253 -0.120812 0.0170248 -0.138113
1715 0.0576689 -0.166949 -0.0290037 -0.138284
1720 0.147855 -0.222473 -0.0496075 -0.124226
1725 0.226755 -0.282537 -0.0523081 -0.10809
1730 0.285601 -0.335039 -0.043014 -0.0924524
1735 0.317393 -0.368504 -0.0232124 -0.0743233
1740 0.320947 -0.37784 0.00457469 -0.0523184
1745 0.302072 -0.362495 0.0325981 -0.0278241
1750 0.267059 -0.322283 0.0514103 -0.00381416
1755 0.214167 -0.256706 0.0530302 0.0104911
1760 0.13655 -0.170038 0.0308787 -0.00260916
1765 0.0366398 -0.0754181 -0.0197169 -0.0584952
1770 -0.0671304 0.0105054 -0.0999545 -0.15658
1775 -0.151503 0.0769985 -0.204427 -0.278932
1780 -0.203737 0.122825 -0.314465 -0.395377
1785 -0.222307 0.151584 -0.400534 -0.471257
1790 -0.209959 0.166982 -0.440188 -0.483165
1795 -0.170452 0.175141 -0.42595 -0.421261
1800 -0.109756 0.18581 -0.359995 -0.283942
1805 -0.040988 0.207638 -0.252742 -0.0860919
1810 0.0157715 0.239688 -0.123533 0.131927
1815 0.0419414 0.268738 0.00260111 0.313281
1820 0.0304735 0.279937 0.101955 0.412366
1825 -0.0136698 0.267207 0.161829 0.415366
1830 -0.0810964 0.23413 0.184063 0.337097
1835 -0.159415 0.188918 0.17929 0.208794
1840 -0.230466 0.136549 0.157262 0.0633444
1845 -0.275335 0.0801524 0.123195 -0.0719869
1850 -0.282548 0.0240558 0.0816002 -0.176892
1855 -0.252408 -0.0273216 0.0388785 -0.240851
1860 -0.194703 -0.0698104 0.00375309 -0.26076
1865 -0.121378 -0.0978757 -0.0177586 -0.237012
1870 -0.0396466 -0.104789 -0.0278595 -0.172295
1875 0.046145 -0.0875983 -0.0304504 -0.0719037
1880 0.126277 -0.0504871 -0.0233139 0.0524764
1885 0.185076 -0.00202667 -0.00318361 0.179865
1890 0.209473 0.0478839 0.0266273 0.283985
1895 0.198379 0.0890039 0.0566652 0.344048
1900 0.162957 0.114138 0.076054 0.353149
1905 0.116454 0.122856 0.0749583 0.314268
1910 0.0653716 0.119926 0.047191 0.232489
1915 0.0122029 0.110962 -0.0039673 0.119198
1920 -0.0385632 0.102633 -0.0648259 -0.00075646
1925 -0.0799896 0.102772 -0.115859 -0.0930773
1930 -0.105903 0.114211 -0.141456 -0.133148
1935 -0.113514 0.134358 -0.138937 -0.118093
